word|translate|synonym
resemble|v.像,.与...相似|lik,ook,like,be simila to
recognize|v.认出,识别:承 认|perceive,acknowlede,realize,appreciate, admit ,identify, comprehend, understand, know
adjust|v.调整,使适合|change, modify, shift, alter
approach|n.方法|method, way
fundamental|adj. 基本的,基础 的|rudimentary, preliminary, basic
rely on|依靠,依赖|depend on
domestic|[ adj.家庭的;国内 的|home, local, national
measure|v.测量|calculate, assess, evaluate
trait|n.特性,特征|characterstic, feature, property
coin|v.创造|first used, invent
artificial|adj人造的,仿造 的|synthetic, man-made
prompt|v.促进,激起|initiate, immediately
exchange|v.交换|share, apply A to B
underlie|v.成...基础|based on, ground, root
ignore| v.忽视,不顾|neglect, overlook, underestimate


fertiliser|n.化肥,肥料|chemical, toxic, unnatural
that*|pron.那;那个|this, it, they, those, these, such *指代是雅思阅读的重要考点
and*|conj.和,而且|or, as well as, bth.and, not only..hbtt also... other than, in addition, besides, on the one hand..on the other hand... neite .n.. *并列结构是)雅思阅读的重要考点
rather than*|而非,不是|but, yet, however, whereas, nonetheless, nevertheless, although, notwithstanding though, instead *转折结构是雅思阅读的重要考点
thanks to*|由于,幸亏|stem from,derive, owing to,due to, according to, because of, on account of, as a result of, leading to, because, since, for, in that, as, therefore, hence *因果关系是雅思阅读重要考点

diversity|n.多样性,差异|variety, difference
detect|v.查明,发现|find, look for, seek, search
isolate|v.使隔离,使孤立|inaccessible
avoid|v.避免|escape, evitable
budget|n.预算|fund, financial
adapt to|使适应|fit, suit
alternative|adj.供替代的,供 选择的 n.替代品|substitute
compensate|n.补偿,赔偿|make up, offset

accumulate|v.积累,积聚|gather
addictive|adj.上瘾的|habit
adversity|n.逆境,不幸|trouble
aggression|n.侵犯,侵害|attack
agreeable|adj.令人愉快的;合 适的;和蔼可亲的|pleasant
aid|n.援助,帮助|help
allergic|ad].过敏的;对... 极讨厌的|irritate
altitude|n.高度,海拔|height
application|n.应用|utilization
approve|v.批准|agree
array|n.排列,大批|order
assign|v.分配,指派|allocate
association|n.协会,联盟;联系|union
attitude|n.看法,态度|opinion
authority|n.当局,权威|government
be consistent with|.与...一-致|compatible
bear|v.承担;忍受|tolerate
blight|v损害;枯萎|destroy
boundary|n.边界;底线|barrier
bungle|v搞糟,拙劣地工作|mishandle
burden|n.负担|load
calamity|n.灾难|disaster
capacity|n.容量|volume
catastrophic|odj.灾难的|disastrous
cater|v.迎合;满足需求|serve
certify|v.证明,保证|verify
civic|adj.市民的|municipal
comment|n.评论;意见v.评论|remark


devastate|v.毁坏,毁灭|wreck
disclose|v.公开;揭露|expose
disparate|adj.不同的|different
display|n.显示|show
disrupt|v破坏|destroy
distract|v.转移,分心|divert
distribute|v.分配,分发|spread
documentation|n.文件;文献|record
domain|n.领域|field
dominant|adj.占优势的,占支 配地位的|overbearing
dramatic|adj.戏剧化的,激动 人心的,引人注意的|striking
drought|n.干旱|dry
durable|ad.持久的|lasting
eco-friendly|adj.生态有好的, 环保的|environmentally-friendly
elaborate|v.详细阐述,详细叙 述|illustrate
elderly|ad.高龄的|aged
eliminate|v.消除,排除|dispose
elusive|adj.难懂的,难捉摸 的;行踪隐秘的|hard
encyclopaedia|n.百科全书|entire range of knowledge
entrepreneur|n.企业家|boss
equator|n.赤道|geography
rratically|adv.不定的,无视规 律地|unpredictably
established|adj.确定的;已制定 的,已建立的|built
estate|n.房地产|property
ethical|adj,道德的|moral
eventually|adv.最后,终于|finally
evidence|n.迹象;证据|proof
evolve|v进化,发展;逐渐形 成|develop
exhausted|ad.疲惫的,耗尽的|fatigue
experiment|n.试验,试验|test

component|n.成分,要素|proportion
military|adj.军事的|weapon, army
criteria|n.标准|standard
curriculum|n.课程|Syllabus, course of study
feasible|d,可行的|realistic, viable
constrain|v.束缚,限制|stop, control
deficiency|n.缺陷,缺点|shortage, defect, weakness
supplement|v.补充|provision
distinguish|v.区别,辨别|separate, dfferentate
analyze|v.分析,解释|examine, diagnose
emphasize|v强调,着重|focus on, stress
enormous|adj.庞大的,巨大的|massive, large
imitate|v.模仿|mimic, copy
impair|v.削弱,减少|damage, diminish, decrease
